     	ε    	proc   	id    	(    	)    	{    	}    record  	;    	struct  	*    	=    	,    	int   	float  	bool   	char   	[    	num   	]    	if    	else   	do    	while  	call   	return  	Opens  	+    	real   	string  	||    	&&    	!    	true   	false  	<    	<=    	>    	>=    	==    	!=    	$    	P'    	P    	D    	A    	M    	T    	X    	C    	S    	MachedS 	OpenS  	L    	E    	G    	F    	B    	H    	I    	Relop  	Elist  
0    	--    	s7    	s271   	--    	--    	--    	--    	s412   	--    	s421   	--    	--    	--    	s92   	s93   	s94   	s95   	--    	--    	--    	s433   	--    	s453   	--    	s460   	s466   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r3    	--    	1    	2    	--    	--    	417   	427   	--    	5    	431   	432   	447   	--    	--    	--    	--    	--    	--    	--    	--    	
1    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	acc   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
2    	--    	s7    	s271   	--    	--    	--    	--    	s412   	--    	s421   	--    	--    	--    	s92   	s93   	s94   	s95   	--    	--    	--    	s433   	--    	s453   	--    	s460   	s466   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r3    	--    	3    	4    	--    	--    	417   	427   	--    	5    	431   	432   	447   	--    	--    	--    	--    	--    	--    	--    	--    	
3    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r1    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
4    	--    	s7    	s271   	--    	--    	--    	--    	s412   	--    	s421   	--    	--    	--    	s92   	s93   	s94   	s95   	--    	--    	--    	s433   	--    	s453   	--    	s460   	s466   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r3    	--    	3    	4    	--    	--    	417   	427   	--    	5    	431   	432   	447   	--    	--    	--    	--    	--    	--    	--    	--    	
5    	--    	s7    	s271   	--    	--    	--    	--    	s412   	--    	s421   	--    	--    	--    	s92   	s93   	s94   	s95   	--    	--    	--    	s433   	--    	s453   	--    	s460   	s466   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r3    	--    	6    	2    	--    	--    	417   	427   	--    	5    	431   	432   	447   	--    	--    	--    	--    	--    	--    	--    	--    	
6    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r2    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
7    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s387   	s388   	s389   	s390   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	8    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
8    	--    	--    	s9    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
9    	--    	--    	--    	s10   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
10    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s387   	s388   	s389   	s390   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	11    	--    	391   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
